name,id
ABCA7,XM_054319529
ABCA7,XM_054319530
ABCA7,XM_054319531
ABCA7,XM_054319532
ABCA7,XR_008485063
ABCA7,XR_008485064
ABCA7,XR_008485065
ABCA7,XR_008485066
ABCA8,NM_001288985
ABCA8,NM_001288986
ABCA8,NM_001375771
ABCA8,NM_001375772
ABCA8,NM_007168
ABCA8,XM_054314684
ABCA8,XM_054314685
ABCA8,XM_054314686
ABCA9,NM_080283
ABCA9,XM_054314680
ABCA9,XM_054314681
ABCA9,XM_054314682
ABCA9,XM_054314683
ABCA9-AS1,NR_126414
ABCB1,NM_000927
ABCB1,NM_001348944
ABCB1,NM_001348945
ABCB1,NM_001348946
ABCB10,NM_012089
ABCB10,XM_054335700
ABCB10,XM_054335701
ABCB10,XM_054335702
ABCB10,XM_054335703
ABCB11,NM_003742
ABCB11,XM_054344317
ABCB11,XM_054344318
ABCB11,XM_054344319
ABCB11,XM_054344320
ABCB11,XM_054344321
ABCB11,XM_054344322
ABCB4,NM_000443
ABCB4,NM_018849
ABCB4,NM_018850
ABCB4,XM_054358402
ABCB4,XM_054358403
ABCB4,XM_054358404
ABCB4,XM_054358405
ABCB4,XM_054358406
ABCB4,XR_008487630
ABCB4,XR_008487631
ABCB4,XR_008487632
ABCB4,XR_008487633
ABCB4,XR_008487634
ABCB4,XR_008487635
ABCB4,XR_008487636
ABCB4,XR_008487637
ABCB4,XR_008487638
ABCB4,XR_008487639
ABCB4,XR_008487640
ABCB4,XR_008487641
ABCB5,NM_001163941
ABCB5,NM_001163942
ABCB5,NM_001163993
ABCB5,NM_178559
ABCB6,NM_001349828
ABCB6,NM_005689
ABCB7,NM_001271696
ABCB7,NM_001271697
ABCB7,NM_001271698
ABCB7,NM_001271699
ABCB7,NM_004299
ABCB8,NM_001282291
ABCB8,NM_001282292
ABCB8,NM_001282293
ABCB8,NM_007188
ABCB9,NM_001243013
ABCB9,NM_001243014
ABCB9,NM_019624
ABCB9,NM_019625
ABCB9,NM_203444
ABCB9,XM_054371593
ABCB9,XM_054371594
ABCB9,XM_054371595
ABCB9,XM_054371596
ABCB9,XM_054371597
ABCB9,XM_054371598
ABCB9,XM_054371599
ABCB9,XM_054371600
ABCB9,XM_054371601
ABCB9,XM_054371602
ABCB9,XM_054371603
ABCB9,XM_054371604
ABCB9,XR_008488553
ABCB9,XR_008488554
ABCB9,XR_008488555
ABCB9,XR_008488556
ABCB9,XR_008488557
ABCB9,XR_008488558
ABCB9,XR_008488559
ABCC1,NM_004996
ABCC1,NM_019862
ABCC1,XM_054380348
ABCC1,XM_054380349
ABCC1,XM_054380350
ABCC1,XM_054380351
ABCC1,XM_054380352
ABCC1,XM_054380353
ABCC1,XM_054380354
ABCC1,XM_054380355
ABCC1,XM_054380356
ABCC1,XM_054380357
ABCC1,XM_054380358
ABCC1,XM_054380359
ABCC1,XM_054380360
ABCC1,XM_054380361
ABCC1,XM_054380362
ABCC1,XM_054380363
ABCC1,XM_054380364
ABCC1,XM_054380365
ABCC1,XM_054380366
ABCC1,XM_054380367
ABCC1,XM_054380368
ABCC1,XM_054380369
ABCC1,XM_054380370
ABCC1,XM_054380371
ABCC1,XM_054380372
ABCC1,XM_054380373
ABCC1,XM_054380374
ABCC1,XM_054380375
ABCC1,XM_054380376
ABCC1,XM_054380377
ABCC1,XM_054380378
ABCC1,XM_054380379
ABCC1,XM_054380380
ABCC10,NM_001198934
ABCC10,NM_001350518
ABCC10,NM_033450
ABCC10,NR_146762
ABCC10,XM_054356700
