"","gene","class"
"1244","Nuak2","late_down"
"1245","Nfasc","late_down"
"1246","Zfp281","late_down"
"1247","Gm41958","late_down"
"1248","Platr22","late_down"
"1249","Crb1","late_down"
"1250","Rgs8","late_down"
"1251","Soat1","late_down"
"1252","Rasal2","late_down"
"1253","Atp1b1","late_down"
"1254","Ccdc190","late_down"
"1255","Spta1","late_down"
"1256","Mixl1","late_down"
"1257","Lefty1","late_down"
"1258","Cr2","late_down"
"1259","Acbd7","late_down"
"1260","Optn","late_down"
"1261","Cacnb2","late_down"
"1262","A930004D18Rik","late_down"
"1263","Etl4","late_down"
"1264","Thnsl1","late_down"
"1265","Zmynd19","late_down"
"1266","Sh2d3c","late_down"
"1267","Lrsam1","late_down"
"1268","Ralgps1","late_down"
"1269","Zbtb34","late_down"
"1270","Lypd6b","late_down"
"1271","Lypd6","late_down"
"1272","Kcnj3","late_down"
"1273","Galnt3","late_down"
"1274","Scn9a","late_down"
"1275","Stk39","late_down"
"1276","Itga6","late_down"
"1277","Tmx2","late_down"
"1278","Qser1","late_down"
"1279","Prrg4","late_down"
"1280","Gjd2","late_down"
"1281","Bahd1","late_down"
"1282","Frmd5","late_down"
"1283","Patl2","late_down"
"1284","Gatm","late_down"
"1285","Sqor","late_down"
"1286","Slc27a2","late_down"
"1287","Prom2","late_down"
"1288","Tgm3","late_down"
"1289","Rassf2","late_down"
"1290","Slc23a2","late_down"
"1291","Lrrn4","late_down"
"1292","Pcsk2","late_down"
"1293","Dnmt3b","late_down"
"1294","Rims4","late_down"
"1295","1810021M19Rik","late_down"
"1296","Cebpb","late_down"
"1297","Nfatc2","late_down"
"1298","Cbln4","late_down"
"1299","Tfap2c","late_down"
"1300","Hrh3","late_down"
"1301","Slco4a1","late_down"
"1302","Samd10","late_down"
"1303","Oprl1","late_down"
"1304","Zfhx4","late_down"
"1305","Snx16","late_down"
"1306","Skil","late_down"
"1307","4930429B21Rik","late_down"
"1308","Sox2","late_down"
"1309","Trpc3","late_down"
"1310","Hspa4l","late_down"
"1311","Plch1","late_down"
"1312","Slitrk3","late_down"
"1313","Platr10","late_down"
"1314","Pdgfc","late_down"
"1315","Tmem154","late_down"
"1316","Dclk2","late_down"
"1317","Zbtb7b","late_down"
"1318","Them5","late_down"
"1319","Rorc","late_down"
"1320","Ciart","late_down"
"1321","Amigo1","late_down"
"1322","Celsr2","late_down"
"1323","Abca4","late_down"
"1324","Ugt8a","late_down"
"1325","Fam241a","late_down"
"1326","Pitx2","late_down"
"1327","Npnt","late_down"
"1328","Gbp7","late_down"
"1329","Klhl32","late_down"
"1330","Fut9","late_down"
"1331","Rigi","late_down"
"1332","Cntfr","late_down"
"1333","Arid3c","late_down"
"1334","Tdrd7","late_down"
"1335","Galnt12","late_down"
"1336","Slc44a1","late_down"
"1337","Cer1","late_down"
"1338","Sh3gl2","late_down"
"1339","Gm49890","late_down"
"1340","Elavl2","late_down"
"1341","Cyp2j13","late_down"
"1342","Foxd3","late_down"
"1343","Pde4b","late_down"
"1344","Faah","late_down"
"1345","2610528J11Rik","late_down"
"1346","Tmem125","late_down"
"1347","Gm2164","late_down"
"1348","Pou3f1","late_down"
"1349","Rspo1","late_down"
"1350","Sh3d21","late_down"
"1351","Hpca","late_down"
"1352","Zbtb8a","late_down"
"1353","C330020E22Rik","late_down"
"1354","Ahdc1","late_down"
"1355","Kdf1","late_down"
"1356","Fam110d","late_down"
"1357","Slc30a2","late_down"
"1358","Rhd","late_down"
"1359","Rcan3","late_down"
"1360","Pla2g5","late_down"
"1361","Pax7","late_down"
"1362","Padi3","late_down"
"1363","Arhgef19","late_down"
"1364","Pdpn","late_down"
"1365","Fbxo44","late_down"
"1366","Pik3cd","late_down"
"1367","Espn","late_down"
"1368","Trp73","late_down"
"1369","Arhgef16","late_down"
"1370","Plch2","late_down"
"1371","Mxra8","late_down"
"1372","Sema3c","late_down"
"1373","Gsap","late_down"
"1374","Armc10","late_down"
"1375","Slc26a5","late_down"
"1376","Klhl7","late_down"
"1377","Actr3b","late_down"
"1378","Dpp6","late_down"
"1379","Cnpy1","late_down"
"1380","Krtcap3","late_down"
"1381","Nat8l","late_down"
"1382","Lgi2","late_down"
"1383","Pcdh7","late_down"
"1384","Ube2k","late_down"
"1385","Chrna9","late_down"
"1386","Rbm47","late_down"
"1387","Gm26725","late_down"
"1388","Uchl1","late_down"
"1389","Atp10d","late_down"
"1390","Lnx1","late_down"
"1391","Hopx","late_down"
"1392","G3bp2","late_down"
"1393","Sowahb","late_down"
"1394","Fras1","late_down"
"1395","Gbp9","late_down"
"1396","Gbp4","late_down"
"1397","Lrrc8b","late_down"
"1398","Lrrc8d","late_down"
"1399","Tgfbr3","late_down"
"1400","Miat","late_down"
"1401","Bicdl1","late_down"
"1402","Ksr2","late_down"
"1403","Dtx1","late_down"
"1404","Cux2","late_down"
"1405","Hvcn1","late_down"
"1406","Fzd10","late_down"
"1407","Cldn3","late_down"
"1408","Fzd9","late_down"
"1409","Adap1","late_down"
"1410","Calcr","late_down"
"1411","Gm33576","late_down"
"1412","Ica1","late_down"
"1413","Lrrc4","late_down"
"1414","Gm38785","late_down"
"1415","Atp6v0a4","late_down"
"1416","Rab19","late_down"
"1417","Tmem178b","late_down"
"1418","Zfp467","late_down"
"1419","Atp6v0e2","late_down"
"1420","Nfe2l3","late_down"
"1421","Evx1os","late_down"
"1422","Evx1","late_down"
"1423","Kbtbd2","late_down"
"1424","Snca","late_down"
"1425","Foxi3","late_down"
"1426","Sema4f","late_down"
"1427","M1ap","late_down"
"1428","Adamts9","late_down"
"1429","A730049H05Rik","late_down"
"1430","Bhlhe40","late_down"
"1431","Timp4","late_down"
"1432","Tmem40","late_down"
"1433","Rimklb","late_down"
"1434","Cmas","late_down"
"1435","Kras","late_down"
"1436","Bhlhe41","late_down"
"1437","Far2","late_down"
"1438","Prkcg","late_down"
"1439","Cacng6","late_down"
"1440","Tmem190","late_down"
"1441","Tmem238","late_down"
"1442","Pnma8c","late_down"
"1443","Nectin2","late_down"
"1444","Pou2f2","late_down"
"1445","Gmfg","late_down"
"1446","Hpn","late_down"
"1447","Rgs9bp","late_down"
"1448","Zfp936","late_down"
"1449","Shank1","late_down"
"1450","Flt3l","late_down"
"1451","Hrc","late_down"
"1452","Bcat2","late_down"
"1453","Car11","late_down"
"1454","Odad1","late_down"
"1455","Spty2d1","late_down"
"1456","Nav2","late_down"
"1457","Svip","late_down"
"1458","Gabrg3","late_down"
"1459","Snord64","late_down"
"1460","Polg","late_down"
"1461","Mir9-3hg","late_down"
"1462","Iqgap1","late_down"
"1463","Cpeb1","late_down"
"1464","Ctsc","late_down"
"1465","Prss23","late_down"
"1466","Dlg2","late_down"
"1467","Capn5","late_down"
"1468","Phox2a","late_down"
"1469","Trim21","late_down"
"1470","Trim34a","late_down"
"1471","Trim34b","late_down"
"1472","Trim66","late_down"
"1473","Nrip3","late_down"
"1474","Gm46027","late_down"
"1475","Spon1","late_down"
"1476","Plekha7","late_down"
"1477","Atp2a1","late_down"
"1478","Qprt","late_down"
"1479","Chst15","late_down"
"1480","Dhx32","late_down"
"1481","Pkp3","late_down"
"1482","Cracr2b","late_down"
"1483","Prr36","late_down"
"1484","Rab20","late_down"
"1485","Gm33532","late_down"
"1486","Mcf2l","late_down"
"1487","Kbtbd11","late_down"
"1488","Zmat4","late_down"
"1489","Trmt9b","late_down"
"1490","Pdlim3","late_down"
"1491","Gpm6a","late_down"
"1492","Aadat","late_down"
"1493","Mfap3l","late_down"
"1494","Apela","late_down"
"1495","Slc18a1","late_down"
"1496","Jund","late_down"
"1497","Nr2f6","late_down"
"1498","Plvap","late_down"
"1499","Tmem38a","late_down"
"1500","Gm6360","late_down"
"1501","Pou4f2","late_down"
"1502","Adgre5","late_down"
"1503","Gm38426","late_down"
"1504","Chd9","late_down"
"1505","Aktip","late_down"
"1506","Esrp2","late_down"
"1507","Has3","late_down"
"1508","Zfhx3","late_down"
"1509","Marveld3","late_down"
"1510","Gm9564","late_down"
"1511","Irf8","late_down"
"1512","Snai3","late_down"
"1513","Cpne7","late_down"
"1514","Gm46060","late_down"
"1515","Sipa1l2","late_down"
"1516","Kcnk1","late_down"
"1517","Pgr","late_down"
"1518","Rgl3","late_down"
"1519","Elavl3","late_down"
"1520","Siae","late_down"
"1521","Scn2b","late_down"
"1522","Htr3a","late_down"
"1523","2310030G06Rik","late_down"
"1524","Sema7a","late_down"
"1525","Gm32820","late_down"
"1526","Mindy2","late_down"
"1527","Cgnl1","late_down"
"1528","Atosa","late_down"
"1529","Myo5c","late_down"
"1530","Hcrtr2","late_down"
"1531","Fam83b","late_down"
"1532","Minar1","late_down"
"1533","Cacna2d2","late_down"
"1534","Camkv","late_down"
"1535","Nbeal2","late_down"
"1536","Cripto","late_down"
"1537","Cmtm8","late_down"
"1538","Eomes","late_down"
"1539","Gm33460","late_down"
"1540","Csrnp1","late_down"
"1541","Gm39458","late_down"
"1542","Hivep2","late_down"
"1543","Il20ra","late_down"
"1544","Slc35d3","late_down"
"1545","Eya4","late_down"
"1546","Ccn2","late_down"
"1547","Enpp3","late_down"
"1548","Samd3","late_down"
"1549","Hs3st5","late_down"
"1550","Rfx6","late_down"
"1551","Unc5b","late_down"
"1552","Jmjd1c","late_down"
"1553","Ggt1","late_down"
"1554","Gstt3","late_down"
"1555","Gm40709","late_down"
"1556","Atcay","late_down"
"1557","Tjp3","late_down"
"1558","Dcn","late_down"
"1559","Slc6a15","late_down"
"1560","Marchf9","late_down"
"1561","Gls2","late_down"
"1562","Erbb3","late_down"
"1563","Dgka","late_down"
"1564","Nefh","late_down"
"1565","Ramp3","late_down"
"1566","Pkd1l1","late_down"
"1567","Sun3","late_down"
"1568","Gm11992","late_down"
"1569","Upp1","late_down"
"1570","Vstm2a","late_down"
"1571","Insyn2b","late_down"
"1572","Kcnj12","late_down"
"1573","Chrnb1","late_down"
"1574","Cldn7","late_down"
"1575","Alox15","late_down"
"1576","Tm4sf5","late_down"
"1577","Pitpnm3","late_down"
"1578","Rtn4rl1","late_down"
"1579","Rab11fip4","late_down"
"1580","Gm32917","late_down"
"1581","Hlf","late_down"
"1582","Tom1l1","late_down"
"1583","Tob1","late_down"
"1584","Arl5c","late_down"
"1585","Mpp3","late_down"
"1586","Gm11627","late_down"
"1587","Wnt9b","late_down"
"1588","Kcnh6","late_down"
"1589","Axin2","late_down"
"1590","Hid1","late_down"
"1591","Llgl2","late_down"
"1592","Evpl","late_down"
"1593","Foxj1","late_down"
"1594","Gm11772","late_down"
"1595","Cyria","late_down"
"1596","Fam110c","late_down"
"1597","Ahr","late_down"
"1598","Tspan13","late_down"
"1599","Foxg1","late_down"
"1600","Foxa1","late_down"
"1601","Tmem229b","late_down"
"1602","Tc2n","late_down"
"1603","Ifi27l2a","late_down"
"1604","Ankrd9","late_down"
"1605","Tedc1","late_down"
"1606","Inhba","late_down"
"1607","Amph","late_down"
"1608","Nhlrc1","late_down"
"1609","Syk","late_down"
"1610","Smim32","late_down"
"1611","Ntrk2","late_down"
"1612","Gm53789","late_down"
"1613","Srd5a1","late_down"
"1614","Tert","late_down"
"1615","Ell2","late_down"
"1616","Adgrv1","late_down"
"1617","Ankrd34b","late_down"
"1618","Sv2c","late_down"
"1619","Enc1","late_down"
"1620","Arhgef28","late_down"
"1621","Ocln","late_down"
"1622","Marveld2","late_down"
"1623","Gm41098","late_down"
"1624","Gm52128","late_down"
"1625","Tmem254","late_down"
"1626","Duxbl1","late_down"
"1627","Gprin2","late_down"
"1628","Txndc16","late_down"
"1629","Zfp219","late_down"
"1630","Sall2","late_down"
"1631","Ajuba","late_down"
"1632","Jph4","late_down"
"1633","Gm35595","late_down"
"1634","Ptk2b","late_down"
"1635","Nefl","late_down"
"1636","Hr","late_down"
"1637","LOC118568133","late_down"
"1638","4930517O19Rik","late_down"
"1639","Scel","late_down"
"1640","Slain1","late_down"
"1641","Slain1os","late_down"
"1642","Abcc4","late_down"
"1643","Dock9","late_down"
"1644","2610035F20Rik","late_down"
"1645","Zic2","late_down"
"1646","Gm41259","late_down"
"1647","Prlr","late_down"
"1648","Cdh9","late_down"
"1649","Trio","late_down"
"1650","Samd12","late_down"
"1651","Mal2","late_down"
"1652","Enpp2","late_down"
"1653","Eppk1","late_down"
"1654","Plec","late_down"
"1655","Foxred2","late_down"
"1656","Cbx6","late_down"
"1657","Pdgfb","late_down"
"1658","Syngr1","late_down"
"1659","1700001L05Rik","late_down"
"1660","Ttll1","late_down"
"1661","Panx2","late_down"
"1662","Pdzrn4","late_down"
"1663","Slc48a1","late_down"
"1664","Col2a1","late_down"
"1665","Lima1","late_down"
"1666","Krt80","late_down"
"1667","Krt7","late_down"
"1668","Ppl","late_down"
"1669","Atf7ip2","late_down"
"1670","Thpo","late_down"
"1671","Chrd","late_down"
"1672","Sec22a","late_down"
"1673","B4galt4","late_down"
"1674","Btla","late_down"
"1675","Rbm11","late_down"
"1676","Hunk","late_down"
"1677","Tiam2","late_down"
"1678","Tfb1m","late_down"
"1679","Serac1","late_down"
"1680","Mpc1","late_down"
"1681","T2","late_down"
"1682","Dact2","late_down"
"1683","Zfp946","late_down"
"1684","Bicdl2","late_down"
"1685","Nme3","late_down"
"1686","Fgd2","late_down"
"1687","Abcg1","late_down"
"1688","Pde9a","late_down"
"1689","H2-Q2","late_down"
"1690","Psors1c2","late_down"
"1691","H2-T10","late_down"
"1692","Clic5","late_down"
"1693","Kcnh8","late_down"
"1694","Kat2b","late_down"
"1695","St6gal2","late_down"
"1696","Crb3","late_down"
"1697","Dennd1c","late_down"
"1698","Mtcl1","late_down"
"1699","Ptprm","late_down"
"1700","Klhl14","late_down"
"1701","4930426D05Rik","late_down"
"1702","Dtna","late_down"
"1703","Syt4","late_down"
"1704","Slc23a1","late_down"
"1705","Fchsd1","late_down"
"1706","Stk32a","late_down"
"1707","Sema6a","late_down"
"1708","Afap1l1","late_down"
"1709","Atp8b1","late_down"
"1710","Cidea","late_down"
"1711","Gm20544","late_down"
"1712","Smad7","late_down"
"1713","Hsbp1l1","late_down"
"1714","Mbp","late_down"
"1715","Ap5b1","late_down"
"1716","Neat1","late_down"
"1717","Dtx4","late_down"
"1718","Fam111a","late_down"
"1719","Prune2","late_down"
"1720","Rfx3","late_down"
"1721","Pten","late_down"
"1722","Hhex","late_down"
"1723","Gm57494","late_down"
"1724","E030044B06Rik","late_down"
"1725","Kcnip2","late_down"
"1726","Trim8","late_down"
"1727","Sfxn2","late_down"
"1728","Sorcs1","late_down"
"1729","Dgkk","late_down"
"1730","Tfe3","late_down"
"1731","Pcsk1n","late_down"
"1732","Xk","late_down"
"1733","C1galt1c1","late_down"
"1734","Dcaf12l1","late_down"
"1735","Utp14a","late_down"
"1736","Map7d3","late_down"
"1737","Mcf2","late_down"
"1738","Sox3","late_down"
"1739","Gabra3","late_down"
"1740","Pdzd4","late_down"
"1741","Pls3","late_down"
"1742","Gdpd2","late_down"
"1743","Slc7a3","late_down"
"1744","Armcx6","late_down"
"1745","Zcchc18","late_down"
"1746","Irs4","late_down"
"1747","Acsl4","late_down"
"1748","Lrch2","late_down"
"1749","Foxr2","late_down"
"1750","Rragb","late_down"
"1751","Ptchd1","late_down"
"1752","Aff3","constant_up"
"1753","Fhl2","constant_up"
"1754","Rftn2","constant_up"
"1755","Gm10561","constant_up"
"1756","Satb2","constant_up"
"1757","Fzd7","constant_up"
"1758","Gm973","constant_up"
"1759","Nrp2","constant_up"
"1760","Map2","constant_up"
"1761","Fn1","constant_up"
"1762","Des","constant_up"
"1763","Col6a3","constant_up"
"1764","Twist2","constant_up"
"1765","Gpr35","constant_up"
"1766","Farp2","constant_up"
"1767","Cxcr4","constant_up"
"1768","Mapkapk2","constant_up"
"1769","Tmcc2","constant_up"
"1770","Shisa4","constant_up"
"1771","Kif21b","constant_up"
"1772","Colgalt2","constant_up"
"1773","BC034090","constant_up"
"1774","Qsox1","constant_up"
"1775","Vamp4","constant_up"
"1776","Rcsd1","constant_up"
"1777","Creg1","constant_up"
"1778","Gm32999","constant_up"
"1779","Ildr2","constant_up"
"1780","Fam78b","constant_up"
"1781","Atp1a2","constant_up"
"1782","Opn3","constant_up"
"1783","Sdccag8","constant_up"
"1784","Zbtb18","constant_up"
"1785","Efcab2","constant_up"
"1786","Kif26b","constant_up"
"1787","Gm39714","constant_up"
"1788","Capn2","constant_up"
"1789","Gm37885","constant_up"
"1790","Aida","constant_up"
"1791","Vash2","constant_up"
"1792","Traf5","constant_up"
"1793","Kcnh1","constant_up"
"1794","Fam171a1","constant_up"
"1795","Frmd4a","constant_up"
"1796","Vim","constant_up"
"1797","Mrc1","constant_up"
"1798","Nsmf","constant_up"
"1799","Nrarp","constant_up"
"1800","Paxx","constant_up"
"1801","Ptgds","constant_up"
"1802","Notch1","constant_up"
"1803","Slc2a6","constant_up"
"1804","Adamtsl2","constant_up"
"1805","Rxra","constant_up"
"1806","Col5a1","constant_up"
"1807","Olfm1","constant_up"
"1808","Angptl2","constant_up"
"1809","Cutal","constant_up"
"1810","Dab2ip","constant_up"
"1811","Ttll11","constant_up"
"1812","Crb2","constant_up"
"1813","Lhx2","constant_up"
"1814","Kynu","constant_up"
"1815","Zeb2","constant_up"
"1816","Zeb2os","constant_up"
"1817","Rnd3","constant_up"
"1818","Csrnp3","constant_up"
"1819","Slc25a12","constant_up"
"1820","Wipf1","constant_up"
"1821","Osbpl6","constant_up"
"1822","Fkbp7","constant_up"
"1823","Itprid2","constant_up"
"1824","Calcrl","constant_up"
"1825","Tfpi","constant_up"
"1826","Slc43a1","constant_up"
"1827","Cstpp1","constant_up"
"1828","Pdhx","constant_up"
"1829","Apip","constant_up"
"1830","Cat","constant_up"
"1831","D430041D05Rik","constant_up"
"1832","Actc1","constant_up"
"1833","Meis2","constant_up"
"1834","B2m","constant_up"
"1835","Sord","constant_up"
"1836","Shf","constant_up"
"1837","Sema6d","constant_up"
"1838","Smox","constant_up"
"1839","Prokr2","constant_up"
"1840","Rin2","constant_up"
"1841","Insm1","constant_up"
"1842","Plagl2","constant_up"
"1843","Nol4l","constant_up"
"1844","Ggt7","constant_up"
"1845","Zhx3","constant_up"
"1846","Zfp663","constant_up"
"1847","Slc2a10","constant_up"
"1848","Sulf2","constant_up"
"1849","Gm31619","constant_up"
"1850","Atp9a","constant_up"
"1851","Fam217b","constant_up"
"1852","Ntsr1","constant_up"
"1853","Col20a1","constant_up"
"1854","Anxa5","constant_up"
"1855","Fgf2","constant_up"
"1856","Pcdh18","constant_up"
"1857","Lhfpl6","constant_up"
"1858","Siah2","constant_up"
"1859","Kcnab1","constant_up"
"1860","B3galnt1","constant_up"
"1861","Bche","constant_up"
"1862","Golim4","constant_up"
"1863","Rapgef2","constant_up"
"1864","Gucy1b1","constant_up"
"1865","Fhdc1","constant_up"
"1866","Kirrel1","constant_up"
"1867","Fdps","constant_up"
"1868","S100a16","constant_up"
"1869","Adamtsl4","constant_up"
"1870","Ecm1","constant_up"
"1871","Plekho1","constant_up"
"1872","Polr3gl","constant_up"
"1873","Ankrd34a","constant_up"
"1874","Lix1l","constant_up"
"1875","Itga10","constant_up"
"1876","Nudt17","constant_up"
"1877","Notch2","constant_up"
"1878","Ngf","constant_up"
"1879","Syt6","constant_up"
"1880","Kcnd3","constant_up"
"1881","Kcna3","constant_up"
"1882","Kcna2","constant_up"
"1883","Gpr61","constant_up"
"1884","Eeig2","constant_up"
"1885","Slc25a24","constant_up"
"1886","Tram1l1","constant_up"
"1887","Camk2d","constant_up"
"1888","Ttll7","constant_up"
"1889","St6galnac5","constant_up"
"1890","Lyrm2","constant_up"
"1891","Gne","constant_up"
"1892","Coro2a","constant_up"
"1893","Fsd1l","constant_up"
"1894","Tmem38b","constant_up"
"1895","Lpar1","constant_up"
"1896","Astn2","constant_up"
"1897","Cdk5rap2","constant_up"
"1898","Megf9","constant_up"
"1899","Ptprd","constant_up"
"1900","Adamtsl1","constant_up"
"1901","Slc24a2","constant_up"
"1902","Dmrta1","constant_up"
"1903","Cyp2j6","constant_up"
"1904","Sgip1","constant_up"
"1905","Dynlt5","constant_up"
"1906","Acot11","constant_up"
"1907","Cyb5rl","constant_up"
"1908","Gpx7","constant_up"
"1909","Spata6","constant_up"
"1910","Pik3r3","constant_up"
"1911","Elovl1","constant_up"
"1912","Cfap57","constant_up"
"1913","Hivep3","constant_up"
"1914","Csmd2","constant_up"
"1915","Zfp362","constant_up"
"1916","Serinc2","constant_up"
"1917","Tmem200b","constant_up"
"1918","Selenon","constant_up"
"1919","Clic4","constant_up"
"1920","Htr1d","constant_up"
"1921","Vwa5b1","constant_up"
"1922","Spsb1","constant_up"
"1923","Ajap1","constant_up"
"1924","AW011738","constant_up"
"1925","Cyp51","constant_up"
"1926","Sri","constant_up"
"1927","Gm30613","constant_up"
"1928","Gm21083","constant_up"
"1929","Reln","constant_up"
"1930","Hycc1","constant_up"
"1931","Dpysl5","constant_up"
"1932","Mapre3","constant_up"
"1933","Fosl2","constant_up"
"1934","Mxd4","constant_up"
"1935","Evc2","constant_up"
"1936","Nsg1","constant_up"
"1937","Adgra3","constant_up"
"1938","Stim2","constant_up"
"1939","Nipal1","constant_up"
"1940","Sgcb","constant_up"
"1941","Rasl11b","constant_up"
"1942","Pdgfra","constant_up"
"1943","Stbd1","constant_up"
"1944","Hpse","constant_up"
"1945","Arhgap24","constant_up"
"1946","Mn1","constant_up"
"1947","Cmklr1","constant_up"
"1948","Rph3a","constant_up"
"1949","Pitpnm2","constant_up"
"1950","Rflna","constant_up"
"1951","Tmem132c","constant_up"
"1952","Tmem132d","constant_up"
"1953","Rimbp2","constant_up"
"1954","Kctd7","constant_up"
"1955","Clip2","constant_up"
"1956","Ephb4","constant_up"
"1957","Gal3st4","constant_up"
"1958","Gpc2","constant_up"
"1959","Rasl11a","constant_up"
"1960","Katnal1","constant_up"
"1961","B3glct","constant_up"
"1962","Col1a2","constant_up"
"1963","Sgce","constant_up"
"1964","Pon3","constant_up"
"1965","Asns","constant_up"
"1966","St7","constant_up"
"1967","Wnt2","constant_up"
"1968","Tspan12","constant_up"
"1969","Wnt16","constant_up"
"1970","Ptprz1","constant_up"
"1971","Flnc","constant_up"
"1972","Mest","constant_up"
"1973","Wdr91","constant_up"
"1974","Ptn","constant_up"
"1975","Clec2l","constant_up"
"1976","Tcaf1","constant_up"
"1977","Vopp1","constant_up"
"1978","Nap1l5","constant_up"
"1979","Capg","constant_up"
"1980","Tacr1","constant_up"
"1981","Wbp1","constant_up"
"1982","Rtkn","constant_up"
"1983","Dctn1","constant_up"
"1984","Antxr1","constant_up"
"1985","Hmces","constant_up"
"1986","Spehd","constant_up"
"1987","Gata2","constant_up"
"1988","Fbln2","constant_up"
"1989","Fgd5","constant_up"
"1990","Mitf","constant_up"
"1991","Eif4e3","constant_up"
"1992","Gxylt2","constant_up"
"1993","Lrrn1","constant_up"
"1994","Slc6a11","constant_up"
"1995","Plxnd1","constant_up"
"1996","Ret","constant_up"
"1997","Cacna1c","constant_up"
"1998","Tmem121b","constant_up"
"1999","Lpcat3","constant_up"
"2000","Iffo1","constant_up"
"2001","Scnn1a","constant_up"
"2002","Vwf","constant_up"
"2003","Kcna6","constant_up"
"2004","Cracr2a","constant_up"
"2005","Prmt8","constant_up"
"2006","Hebp1","constant_up"
"2007","Fam234b","constant_up"
"2008","Bmal2","constant_up"
"2009","Ppfibp1","constant_up"
"2010","Kmt5c","constant_up"
"2011","Peg3","constant_up"
"2012","Usp29","constant_up"
"2013","Zfp128","constant_up"
"2014","Gm38499","constant_up"
"2015","Grik5","constant_up"
"2016","Cxcl17","constant_up"
"2017","Numbl","constant_up"
"2018","Selenov","constant_up"
"2019","Gm51445","constant_up"
"2020","Ppp1r14a","constant_up"
"2021","Arhgap33","constant_up"
"2022","Scn1b","constant_up"
"2023","Kctd15","constant_up"
"2024","Chst8","constant_up"
"2025","Cebpa","constant_up"
"2026","Lrp3","constant_up"
"2027","Zfp536","constant_up"
"2028","Lrrc4b","constant_up"
"2029","Grin2d","constant_up"
"2030","Nell1","constant_up"
"2031","Gas2","constant_up"
"2032","Nipa1","constant_up"
"2033","Klf13","constant_up"
"2034","Trpm1","constant_up"
"2035","Lrrc28","constant_up"
"2036","Rgma","constant_up"
"2037","St8sia2","constant_up"
"2038","Slco3a1","constant_up"
"2039","Tm6sf1","constant_up"
"2040","Hdgfl3","constant_up"
"2041","Ctxnd1","constant_up"
"2042","Sytl2","constant_up"
"2043","Mogat2","constant_up"
"2044","Serpinh1","constant_up"
"2045","Dchs1","constant_up"
"2046","Dennd2b","constant_up"
"2047","Tmem9b","constant_up"
"2048","Scube2","constant_up"
"2049","Tead1","constant_up"
"2050","Acsm4","constant_up"
"2051","Vwa3a","constant_up"
"2052","Arhgap17","constant_up"
"2053","Bag3","constant_up"
"2054","Fgfr2","constant_up"
"2055","Dpysl4","constant_up"
"2056","Stk32c","constant_up"
"2057","B4galnt4","constant_up"
"2058","Slc22a18","constant_up"
"2059","Phlda2","constant_up"
"2060","Evi5l","constant_up"
"2061","Col4a1","constant_up"
"2062","Fgfr1","constant_up"
"2063","Adgra2","constant_up"
"2064","Prag1","constant_up"
"2065","Fam149a","constant_up"
"2066","Snx25","constant_up"
"2067","Slc25a4","constant_up"
"2068","Acsl1","constant_up"
"2069","Stox2","constant_up"
"2070","Galnt7","constant_up"
"2071","Cpe","constant_up"
"2072","Lpl","constant_up"
"2073","Arhgap10","constant_up"
"2074","Hhip","constant_up"
"2075","Rnf150","constant_up"
"2076","Irx3","constant_up"
"2077","Crnde","constant_up"
"2078","Irx5","constant_up"
"2079","Gnao1","constant_up"
"2080","Herpud1","constant_up"
"2081","Arl2bp","constant_up"
"2082","Kifc3","constant_up"
"2083","Cmtm3","constant_up"
"2084","Fbxl8","constant_up"
"2085","Zfp90","constant_up"
"2086","A330074K22Rik","constant_up"
"2087","Mthfsd","constant_up"
"2088","Foxl1","constant_up"
"2089","Zfpm1","constant_up"
"2090","Cbfa2t3","constant_up"
"2091","Vps9d1","constant_up"
"2092","Tubb3","constant_up"
"2093","Irf2bp2","constant_up"
"2094","Maml2","constant_up"
"2095","Endod1","constant_up"
"2096","Amotl1","constant_up"
"2097","Piwil4","constant_up"
"2098","Fut4","constant_up"
"2099","Col5a3","constant_up"
"2100","Dnm2","constant_up"
"2101","B3gat1","constant_up"
"2102","Jam3","constant_up"
"2103","Ets1","constant_up"
"2104","Robo3","constant_up"
"2105","Esam","constant_up"
"2106","Nrgn","constant_up"
"2107","Clmp","constant_up"
"2108","Sc5d","constant_up"
"2109","Nlrx1","constant_up"
"2110","Ncam1","constant_up"
"2111","Dixdc1","constant_up"
"2112","Exph5","constant_up"
"2113","Chrna5","constant_up"
"2114","Chrna3","constant_up"
"2115","Chrnb4","constant_up"
"2116","Snx33","constant_up"
"2117","Hcn4","constant_up"
"2118","Smad3","constant_up"
"2119","Igdcc4","constant_up"
"2120","Igdcc3","constant_up"
"2121","Rasl12","constant_up"
"2122","Plekho2","constant_up"
"2123","Pif1","constant_up"
"2124","Tpm1","constant_up"
"2125","Fam81a","constant_up"
"2126","Gm27204","constant_up"
"2127","Prtg","constant_up"
"2128","Pygo1","constant_up"
"2129","Snap91","constant_up"
"2130","Gm36539","constant_up"
"2131","Ripply2","constant_up"
"2132","Chst2","constant_up"
"2133","Spsb4","constant_up"
"2134","Clstn2","constant_up"
"2135","Ky","constant_up"
"2136","Cdhr4","constant_up"
"2137","Col7a1","constant_up"
"2138","Nradd","constant_up"
"2139","Pth1r","constant_up"
"2140","Gm35775","constant_up"
"2141","Susd5","constant_up"
"2142","Cmtm7","constant_up"
"2143","Tgfbr2","constant_up"
"2144","Itga9","constant_up"
"2145","Ctdspl","constant_up"
"2146","Plcd1","constant_up"
