"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
2516.97175970277,5.88910947486094,0.245196675539124,24.0179009846374,1.8079725912179e-127,2.62427221615278e-123,"Wnt5a"
1385.8485546934,6.63791525231175,0.280570863990542,23.6586050237045,9.62591345868075e-124,6.98600669263755e-120,"Grin2c"
6164.97252280108,6.21836388321552,0.264475485591598,23.5120615028112,3.07024567657999e-122,1.48548719985195e-118,"Mesp1"
5694.13503857346,4.1475089516961,0.185279876819169,22.3851020569493,5.49795107082296e-111,1.99506899482488e-107,"Epha4"
1064.41005288207,6.91240664924886,0.312307274140026,22.1333514189926,1.50932058654224e-108,4.38155766273211e-105,"Kcnn3"
2931.97748125889,5.40493755136461,0.25854113254072,20.9055228398264,4.76945249606124e-97,1.15381004967215e-93,"Lfng"
2805.11070544013,3.72900556910884,0.180403451246266,20.6703671318263,6.40273812256675e-95,1.32765348355795e-91,"Pdlim2"
1383.68374920229,4.7398699035215,0.229612821581791,20.642879917893,1.13117642536698e-94,2.05237822677522e-91,"Dll1"
7127.66524718515,3.98481824425854,0.205191871377523,19.4199615097181,5.23291371624609e-84,8.43952695459022e-81,"Trp53i11"
774.496501559429,5.60123520094205,0.308331810259672,18.1662579551062,9.5493014300378e-74,1.38608110256999e-70,"Fgf3"
694.440442558317,5.99560187438124,0.33320645180562,17.9936548103782,2.18462532156028e-72,2.88271241294977e-69,"Robo3"
4276.77651617015,4.95417439787068,0.283182670103914,17.4946242157147,1.57447527037376e-68,1.9044590457896e-65,"Dll3"
541.563437746732,6.29354034502039,0.387498529726388,16.2414560629798,2.5675674367716e-59,2.86678779574921e-56,"Rftn2"
4230.10346175505,3.18959819985193,0.19646637561421,16.2348299543895,2.86039477104456e-59,2.96561643583656e-56,"Fgf4"
512.833709707465,6.16143634745574,0.379791771185661,16.2231960113841,3.45726763781549e-59,3.34548265085946e-56,"Inka1"
907.835190600489,7.65420119693683,0.480982088334845,15.9136928018164,5.09194173705606e-57,4.61934589458554e-54,"Tmem132c"
1074.97891674796,4.18540454256328,0.273745109972083,15.289422130646,8.99446909444084e-53,7.67968934740052e-50,"Snap91"
408.687617645081,7.08820445963443,0.470012426069834,15.0808873690954,2.1634164984515e-51,1.74455502639019e-48,"Foxl2os"
4249.34131237275,3.21178546866884,0.215328031351514,14.915779652607,2.60219919232737e-50,1.98794322508588e-47,"Dlc1"
5162.05022796224,3.65771483816306,0.246652781501033,14.829408433603,9.45626108245587e-50,6.86288148059234e-47,"Pdgfra"
1589.56747746918,2.7264334970916,0.18450718635094,14.7768417643409,2.06630568551227e-49,1.42821081072432e-46,"Srgap3"
355.369342056031,5.66863467758045,0.388821106050506,14.5790302773433,3.81902922877844e-48,2.51969132980541e-45,"Gata2"
1958.31921235585,2.55175342087587,0.175667301378106,14.5260580703262,8.28530216179527e-48,5.22874612515036e-45,"Cdkn1c"
6644.94748518711,4.03402495924205,0.280459027982599,14.3836516451606,6.55430440438051e-47,3.96398868456596e-44,"Notch1"
2675.33640291859,2.65183743397994,0.186172600249947,14.2439726921131,4.88681417927649e-46,2.83728431248793e-43,"Gprc5c"
6134.73730262594,-2.18954691303683,0.155980676286944,-14.037295934074,9.21626027849975e-45,5.14515453624707e-42,"Nanog"
344.243272301829,6.49216671427296,0.464505676327356,13.9765067363734,2.16874648724638e-44,1.16590204675486e-41,"Hoxb3"
1511.19188463254,2.47014780800122,0.183112820146891,13.4897589694686,1.79687016337803e-41,9.31484657908292e-39,"Tmc7"
378.934226563972,6.88221868966022,0.515386054796398,13.3535213566829,1.12979303428971e-40,5.65480892852245e-38,"Foxl2"
7146.75875143354,2.84724489732406,0.214243139370998,13.2897833073365,2.65345532395743e-40,1.2838301342414e-37,"Dusp9"
318.109948923655,6.55375186787932,0.509398531235601,12.8656669896211,7.02330296676629e-38,3.28849169556815e-35,"Prrt1"
3731.03311942503,2.4918917314239,0.194835208470737,12.7897403707614,1.87097898457868e-37,8.48664373786238e-35,"Phldb2"
1002.46351373108,3.70237060043012,0.289593623167259,12.7847103811805,1.99604977597201e-37,8.77959469643447e-35,"Cxcr4"
667.878843351138,3.28347255618184,0.256897185122247,12.7812710544858,2.08631813581847e-37,8.90673757100151e-35,"Prkch"
1339.09919090841,2.69793079219233,0.211710075749874,12.743516257487,3.38774824365291e-37,1.40494759304634e-34,"Adcy3"
2201.58262439224,3.79498223895619,0.300455198827837,12.6307757488022,1.42862835126054e-36,5.76015014404077e-34,"Phlda2"
382.905159765381,5.35437308705033,0.432482405447022,12.3805570344901,3.33023359124834e-35,1.3064416372154e-32,"Col13a1"
727.294421571431,2.86740707003699,0.233986221056462,12.2545979720108,1.58734586449798e-34,6.06324347978637e-32,"Pcdh9"
510.98846959627,4.41438994759383,0.361160926512818,12.222778333794,2.34916582360896e-34,8.74311331530359e-32,"Rasgrp3"
224.373792420234,5.19563135134066,0.430136962859946,12.0790162203111,1.36341189747485e-33,4.94748092296187e-31,"Prcd"
2016.57237325017,2.98801211039046,0.248000188984978,12.0484267476564,1.97687069542731e-33,6.99860442539692e-31,"Snai1"
3191.82842786843,1.98777885874377,0.169083298192296,11.7562105778366,6.56135657052961e-32,2.26757358621994e-29,"Cd9"
283.67771201465,5.16532171733032,0.443302622601973,11.6519087728657,2.24375965728273e-31,7.57399335475786e-29,"Wnt2"
1620.05238087288,-2.25479032436167,0.193546316185062,-11.6498746594883,2.29796561948011e-31,7.58067521971677e-29,"Erbb3"
6996.39969979296,1.94005814293886,0.166561917784811,11.6476693396705,2.35820352513426e-31,7.60651648162749e-29,"Fstl1"
215.751052528618,5.60384928427442,0.482168269414278,11.6221859457525,3.17896788807112e-31,1.00310258468157e-28,"Elfn2"
4515.37830846076,1.89072367937363,0.164158645670261,11.5176612943765,1.07488937718682e-30,3.31957857656738e-28,"Pdlim5"
252.278717386445,4.33602897096421,0.378380396239881,11.4594440252536,2.10864025050826e-30,6.37644025752653e-28,"Btbd17"
2262.45083979835,2.54721337586058,0.224506778925778,11.3458194360478,7.77940455890612e-30,2.30445014637801e-27,"Dact1"
1918.73279162826,-1.99982046078077,0.176630461537945,-11.3220587398576,1.02046864117959e-29,2.96242046534435e-27,"Nodal"
2146.36633361636,2.3088994632474,0.204056397522412,11.3150064946815,1.10594120720338e-29,3.14759541618766e-27,"Sh3bp1"
901.481284736652,2.35366055670334,0.208324503082643,11.2980495423029,1.3416472563696e-29,3.74500190888552e-27,"9930012K11Rik"
478.538315699758,3.04980385655943,0.27122581418933,11.2445191313187,2.46435949799114e-29,6.74909021006441e-27,"Il13ra1"
1281.30679629203,2.52603395778275,0.228463420674166,11.0566232017745,2.03619765243366e-28,5.47322387501381e-26,"Mex3b"
7732.36869911455,2.12633604872938,0.193806937609359,10.9714134847704,5.24460265380397e-28,1.38409831854481e-25,"Prickle1"
547.205379336868,4.16728482581533,0.383490151183745,10.8667323344599,1.66041588451291e-27,4.18950417817542e-25,"Wnt2b"
1846.250794439,-1.94892405189277,0.179344559440485,-10.8669259774201,1.65689652448822e-27,4.18950417817542e-25,"Irf1"
394.903878888429,3.95994751629529,0.364435212681644,10.8659848952482,1.67406987484791e-27,4.18950417817542e-25,"Rai2"
176.119808792339,6.06619027130219,0.559003245258862,10.8517979506417,1.95540515224992e-27,4.81062809913688e-25,"Atp12a"
1767.079376517,-2.31919189585622,0.214690287946057,-10.8025002809579,3.34956079373888e-27,8.10314582018664e-25,"Slc27a2"
1557.28520082771,-1.99855439026487,0.18566855173588,-10.7640974822052,5.08574047017575e-27,1.21015611351805e-24,"Upp1"
479.73994604903,4.18510203134127,0.392062449878812,10.6745801150681,1.3386132409138e-26,3.13386632126836e-24,"Srrm4"
220.222467248286,5.86609756903205,0.551481112863229,10.6369872552406,2.0050799386478e-26,4.61964052531314e-24,"Mamdc2"
272.801775738919,3.73862795068548,0.351774852185661,10.6278999975595,2.21033450796695e-26,5.01296959111568e-24,"Tceal6"
436.979515279515,-2.72445523499968,0.256840609437932,-10.6075719138101,2.74797446451789e-26,6.13643836191956e-24,"Gm9564"
593.67871752795,2.43055725372061,0.229874798081231,10.5733959268633,3.95893969693606e-26,8.70666813651923e-24,"Fosl2"
3226.53293638179,1.73847100294803,0.165231272684024,10.5214404919132,6.88133735537387e-26,1.49078524945152e-23,"Cdh11"
35610.5931660328,-1.94678880182889,0.185404791148539,-10.5002076255365,8.61903403436127e-26,1.83978351483461e-23,"Trh"
2122.75163029009,3.21764002240492,0.309067878355404,10.4107875574986,2.21382538586619e-25,4.65705441678953e-23,"Greb1l"
312.366558635276,4.56541774447064,0.439567978269175,10.3861472404047,2.86701430922343e-25,5.94495895691115e-23,"Tbx6"
166.794868780757,4.78667492143276,0.461691891698225,10.3676824468935,3.4785883559992e-25,7.1115084489195e-23,"Ceacam10"
795.315434597586,-2.38833248501354,0.230667848880489,-10.3539894987747,4.01402714875927e-25,8.09216723114455e-23,"Eras"
2456.0352790211,2.99280405350788,0.291336914169353,10.2726565290939,9.35913321939631e-25,1.86092902300736e-22,"Igfbp4"
1986.3650247212,-1.89138208307962,0.18610186538992,-10.1631548889465,2.89552273645138e-24,5.67952871886375e-22,"Slain1"
166.09341903695,5.64742458012351,0.556395004696962,10.1500274669061,3.31270175766228e-24,6.32682447532474e-22,"Myrfl"
4954.32653874771,6.66004886741195,0.656132829430771,10.1504582131485,3.29811227818392e-24,6.32682447532474e-22,"Pcdh19"
187.095159067936,4.20930256622608,0.41538146341226,10.1335830724069,3.92015539343746e-24,7.38974747217465e-22,"Tmc5"
162.759525632935,6.53314805663071,0.645769560700931,10.1168411368593,4.65187165502545e-24,8.65665603496081e-22,"Cygb"
2910.52429801787,1.87779704586563,0.186848857803912,10.0498181682024,9.20370862306099e-24,1.69103583118646e-21,"Pdzrn3"
806.344464052111,-2.33513513281881,0.233013232329647,-10.0214700661946,1.2266466321746e-23,2.22559698325179e-21,"Slc35d3"
3175.21427668005,2.21109539082038,0.220889672011433,10.0099537053319,1.3781701677961e-23,2.46964691179759e-21,"Slc22a23"
1144.81405688206,-2.02360325309265,0.202560415763708,-9.99012193701869,1.6837449389398e-23,2.98043387667209e-21,"Igfbp3"
183.193396242695,3.99589738892381,0.40020377712697,9.98465686058745,1.7791558817536e-23,3.11137923176548e-21,"Frrs1l"
2929.70127718597,1.86598309146621,0.187329150186234,9.96098626194123,2.25811343941066e-23,3.90196625869592e-21,"Spry4"
569.964673330152,2.46565838481961,0.247591739243382,9.95856482269741,2.31378600249945e-23,3.95112986191523e-21,"Eda"
3956.40164677049,-1.60270957851591,0.161097687008712,-9.94868150049379,2.55546408559173e-23,4.31308851190279e-21,"Fgf5"
182.391231565077,4.20009533682188,0.422433476810349,9.94261953038231,2.71589581105197e-23,4.53117559740453e-21,"Ndnf"
611.059871771721,2.50451708395065,0.253419457437708,9.88289182398819,4.93867233457937e-23,8.14600328822949e-21,"Itga1"
185.435576712815,5.46765193929012,0.555005645297557,9.85152490901011,6.75117895756137e-23,1.10104901762925e-20,"Dchs2"
382.727099287367,2.78561787458293,0.283456738676208,9.82731222969773,8.5880201673444e-23,1.38505680810004e-20,"Hs3st3b1"
471.354032359511,-2.55579724275479,0.264102000124246,-9.67731119625156,3.76487126695243e-22,6.00517653184775e-20,"Lypd6"
1384.96686118559,1.8400011009838,0.191119560530869,9.62748708647539,6.12079763953363e-22,9.6568888845468e-20,"Pakap"
1100.28058320903,-2.64795631770842,0.276203650356918,-9.58697075251054,9.07091013700911e-22,1.4157447380504e-19,"Foxd3"
1500.87581973463,-1.84560166520771,0.192849215970049,-9.57017976932998,1.06719946951626e-21,1.64791492553495e-19,"Irs4"
473.435522843547,2.79537004689983,0.295114649602757,9.47214938554412,2.74143606520563e-21,4.18862573541681e-19,"Cdc42ep1"
814.390348147184,-1.95273526840614,0.207505554769518,-9.41052045847685,4.93686226680353e-21,7.46443289610971e-19,"Ocln"
3794.40312543364,-1.55108296614844,0.16502676079452,-9.39897843647156,5.50953782372648e-21,8.2444269599371e-19,"Cgnl1"
273.47898283271,3.49465467877473,0.376093300630505,9.29198864461582,1.51432089408739e-20,2.24289467119168e-18,"Irx2"
3048.8954987312,-1.6686450995112,0.179770082692463,-9.28210675836307,1.66160055730919e-20,2.43617495851948e-18,"Epha2"
157.643540738694,4.59983130213725,0.49761025636093,9.24384343637979,2.37798431600386e-20,3.4516442346796e-18,"Dock10"
2581.03281476928,1.76801223478453,0.191621583171894,9.22658192004676,2.79405686871214e-20,4.01541935142146e-18,"Adam19"
2417.73666698339,-2.59791121259109,0.282197942380614,-9.2059892098262,3.38538466855867e-20,4.81753514354206e-18,"Cxcl12"
434.127017189006,2.71127679135858,0.294681462092409,9.20070360757324,3.55613491608801e-20,5.01138818514732e-18,"Rimbp2"
1255.18745481659,1.70971703765077,0.185954609129544,9.19427082584281,3.77546463122312e-20,5.26931433867342e-18,"Perp"
246.669300667733,-3.03309524995994,0.3304502851266,-9.17867342374336,4.36434613325324e-20,6.03318896420675e-18,"Tmem154"
1528.94038305449,2.88977766437862,0.315581430068364,9.15699527615616,5.33624088181421e-20,7.30712607542767e-18,"Cplx2"
797.195023351644,3.51500117813285,0.384001634929019,9.15360992872488,5.50621118313824e-20,7.46940703955622e-18,"Chst1"
2354.91341110609,-1.74980636513391,0.192660668450919,-9.08232271383235,1.06282108692336e-19,1.42841185895301e-17,"Pou3f1"
3896.97073559082,2.61231375648892,0.288221851332839,9.06355206730047,1.26270100284611e-19,1.68147752810195e-17,"Lef1"
2410.15211128073,2.51877330593072,0.278207824368412,9.0535674604007,1.3837208054277e-19,1.8258824991621e-17,"Gas1"
1533.20815864748,2.21874572140091,0.245363375112819,9.04269319078579,1.52858432347247e-19,1.99886499596422e-17,"Nrp2"
6703.72840755359,-1.78026691416093,0.196965577003463,-9.0384672349607,1.58883932974327e-19,2.05910739921639e-17,"Nefl"
203.352568963555,4.35174528138889,0.484656121600117,8.97903706863616,2.73146744460272e-19,3.5086061910096e-17,"Foxc1"
115.113906589271,5.23139627047164,0.582966586860145,8.97374976265434,2.86587915794992e-19,3.64896806821431e-17,"Shisa9"
1828.46600516623,-2.07766991993292,0.231921033796377,-8.95852301933548,3.2905628660823e-19,4.15326260879866e-17,"Frem2"
10199.1605019898,2.1222688987741,0.237074328454948,8.95191357328845,3.4937245307744e-19,4.37167341070608e-17,"Lefty2"
1750.69665536136,-1.61199123180731,0.18032452124497,-8.93939005454188,3.91324275455215e-19,4.85476227199355e-17,"Cldn7"
